Date,Country,Population,Total_Tests,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,New Cases,New Deaths,Percentage_Positive,Serious_or_Critical
19-04-2020,Afghanistan,39119903,6422,996,33,131,832,,,0.002546019,13551
21-04-2020,Afghanistan,39119903,6422,1092,36,150,906,,,0.002791418,6634
22-04-2020,Afghanistan,39119903,6422,1176,40,166,970,,,0.003006142,8
23-04-2020,Afghanistan,39119903,6422,1279,42,179,1058,,,0.003269436,117
24-04-2020,Afghanistan,39119903,6422,1351,43,188,1120,,,0.003453485,98
25-04-2020,Afghanistan,39119903,7425,1463,47,188,1228,,,0.003739784,207
26-04-2020,Afghanistan,39119903,8090,1531,50,207,1274,,,0.003913609,7371
27-04-2020,Afghanistan,39119903,8694,1703,57,220,1426,,,0.004353283,36
28-04-2020,Afghanistan,39119903,9000,1828,58,228,1542,,,0.004672813,127
29-04-2020,Afghanistan,39119903,9000,1939,60,252,1627,,,0.004956556,5833
30-04-2020,Afghanistan,39119903,10022,2171,64,260,1847,,,0.005549605,360
01-05-2020,Afghanistan,39119903,10593,2335,68,310,1957,,,0.005968829,3513
02-05-2020,Afghanistan,39119903,11068,2469,72,345,2274,,,0.006311365,1559
03-05-2020,Afghanistan,39119903,11068,2704,85,345,2274,,,0.006912083,1
04-05-2020,Afghanistan,39119903,11068,2894,90,397,2407,,,0.007397769,78
06-05-2020,Afghanistan,39119903,13777,3392,104,458,2830,,,0.008670778,46
07-05-2020,Afghanistan,39119903,14389,3563,106,468,2989,,,0.009107896,1894
08-05-2020,Afghanistan,39119903,14389,3778,109,472,3197,,,0.009657488,2733
09-05-2020,Afghanistan,39119903,15560,4033,115,502,3416,,,0.01030933,1
10-05-2020,Afghanistan,39119903,15560,4402,120,558,3724,,,0.011252584,2922
12-05-2020,Afghanistan,39119903,18098,4963,127,610,4226,,,0.012686637,164
13-05-2020,Afghanistan,39119903,18724,5226,132,648,4446,,,0.013358929,45
14-05-2020,Afghanistan,39119903,19732,5639,136,691,4812,,,0.014414657,557
15-05-2020,Afghanistan,39119903,20854,6053,153,745,5155,,,0.015472942,3
