Date,Country,Population,Total_Tests,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,New Cases,New Deaths,Percentage_Positive
2020/04/19,Afghanistan,39119903,6422,996,33,131,832,,,0.002546019
2020/04/20,Afghanistan,39119903,6422,1026,36,135,855,,,0.002622706
2020/04/21,Afghanistan,39119903,6422,1092,36,150,906,,,0.002791418
2020/04/22,Afghanistan,39119903,6422,1176,40,166,970,,,0.003006142
2020/04/23,Afghanistan,39119903,6422,1279,42,179,1058,,,0.003269436
2020/04/24,Afghanistan,39119903,6422,1351,43,188,1120,,,0.003453485
2020/04/25,Afghanistan,39119903,7425,1463,47,188,1228,,,0.003739784
2020/04/26,Afghanistan,39119903,8090,1531,50,207,1274,,,0.003913609
2020/04/27,Afghanistan,39119903,8694,1703,57,220,1426,,,0.004353283
2020/04/28,Afghanistan,39119903,9000,1828,58,228,1542,,,0.004672813
2020/04/29,Afghanistan,39119903,9000,1939,60,252,1627,,,0.004956556
2020/04/30,Afghanistan,39119903,10022,2171,64,260,1847,,,0.005549605
2020/05/01,Afghanistan,39119903,10593,2335,68,310,1957,,,0.005968829
2020/05/02,Afghanistan,39119903,11068,2469,72,345,2274,,,0.006311365
2020/05/03,Afghanistan,39119903,11068,2704,85,345,2274,,,0.006912083
2020/05/04,Afghanistan,39119903,11068,2894,90,397,2407,,,0.007397769
2020/05/05,Afghanistan,39119903,13076,3224,95,421,2708,,,0.008241329
2020/05/06,Afghanistan,39119903,13777,3392,104,458,2830,,,0.008670778
2020/05/07,Afghanistan,39119903,14389,3563,106,468,2989,,,0.009107896
2020/05/08,Afghanistan,39119903,14389,3778,109,472,3197,,,0.009657488
2020/05/09,Afghanistan,39119903,15560,4033,115,502,3416,,,0.01030933
2020/05/10,Afghanistan,39119903,15560,4402,120,558,3724,,,0.011252584
2020/05/11,Afghanistan,39119903,15560,4687,122,558,4007,,,0.011981114
2020/05/12,Afghanistan,39119903,18098,4963,127,610,4226,,,0.012686637
2020/05/13,Afghanistan,39119903,18724,5226,132,648,4446,,,0.013358929
2020/05/14,Afghanistan,39119903,19732,5639,136,691,4812,,,0.014414657
2020/05/15,Afghanistan,39119903,20854,6053,153,745,5155,,,0.015472942
2020/05/16,Afghanistan,39119903,21967,6402,168,745,5489,,,0.016365071
2020/05/17,Afghanistan,39119903,22639,6664,169,778,5717,,,0.017034807
2020/05/18,Afghanistan,39119903,23497,7072,173,801,6098,,,0.018077754
2020/05/19,Afghanistan,39119903,24697,7653,178,850,6625,,,0.019562932
2020/05/20,Afghanistan,39119903,25700,8145,187,930,7028,,,0.020820604
2020/05/21,Afghanistan,39119903,26707,8676,193,938,7545,,,0.022177969
2020/05/22,Afghanistan,39119903,27889,9216,205,996,8015,,,0.023558341
2020/05/23,Afghanistan,39119903,29417,9998,216,1040,8742,,,0.025557323
2020/05/24,Afghanistan,39119903,30052,10582,218,1075,9289,,,0.027050169
2020/05/25,Afghanistan,39119903,31718,11173,219,1097,9857,,,0.028560909
2020/05/26,Afghanistan,39119903,32870,11831,220,1128,10483,,,0.030242918
2020/05/27,Afghanistan,39119903,33864,12456,227,1138,11091,,,0.03184057
2020/05/28,Afghanistan,39119903,34903,13036,235,1209,11592,,,0.033323191
2020/05/29,Afghanistan,39119903,35923,13659,246,1259,12154,,,0.034915731
2020/05/30,Afghanistan,39119903,37348,14525,249,1303,12973,,,0.037129438
2020/05/31,Afghanistan,39119903,38460,15205,257,1328,13620,,,0.038867683
2020/06/01,Afghanistan,39119903,39628,15750,265,1428,14057,,,0.040260836
2020/06/02,Afghanistan,39119903,40950,16509,270,1450,14789,,,0.042201025
2020/06/03,Afghanistan,39119903,42273,17267,294,1522,15451,,,0.044138658
2020/06/04,Afghanistan,39119903,43569,18054,300,1585,16169,,,0.046150421
2020/06/05,Afghanistan,39119903,45139,18969,309,1762,16898,,,0.048489384
2020/06/06,Afghanistan,39119903,45900,19551,327,1830,17394,,,0.049977118
2020/06/07,Afghanistan,39119903,47327,20342,357,1875,18110,,,0.051999106
2020/06/08,Afghanistan,39119903,48305,20917,369,2171,18377,,,0.053468946
2020/06/09,Afghanistan,39119903,49530,21459,384,2651,18424,,,0.05485443
2020/06/10,Afghanistan,39119903,50658,22142,405,3013,18724,,,0.056600345
2020/06/11,Afghanistan,39119903,52546,22890,426,3326,19138,,,0.058512415
2020/06/12,Afghanistan,39119903,53705,23546,446,3928,19172,,,0.060189311
2020/06/13,Afghanistan,39119903,54770,24102,451,4201,19450,,,0.061610582
2020/06/14,Afghanistan,39119903,55981,24766,471,4725,19570,,,0.063307928
2020/06/15,Afghanistan,39119903,57532,25527,478,5164,19885,,,0.065253229
2020/06/16,Afghanistan,39119903,59172,26310,491,5508,20311,,,0.067254768
2020/06/17,Afghanistan,39119903,60298,26874,504,6158,20212,,,0.068696489
2020/06/18,Afghanistan,39119903,61599,27532,546,7660,19326,,,0.070378498
2020/06/19,Afghanistan,39119903,62492,27878,548,7962,19368,,,0.071262958
2020/06/20,Afghanistan,39119903,63951,28424,569,8292,19563,,,0.072658667
2020/06/21,Afghanistan,39119903,64958,28833,581,8764,19488,,,0.07370417
2020/06/22,Afghanistan,39119903,65847,29157,598,8841,19718,,,0.074532393
2020/06/23,Afghanistan,39119903,66800,29481,618,9260,19603,,,0.075360616
2020/06/24,Afghanistan,39119903,67282,29640,639,9869,19132,,,0.075767059
2020/06/25,Afghanistan,39119903,68626,30175,675,10174,19326,,,0.077134649
2020/06/26,Afghanistan,39119903,69558,30451,683,10306,19462,,,0.077840173
2020/06/27,Afghanistan,39119903,70087,30616,703,10674,19239,,,0.078261953
2020/06/28,Afghanistan,39119903,70788,30967,721,12604,17642,,,0.079159194
2020/06/29,Afghanistan,39119903,71549,31238,733,13934,16571,,,0.079851936
2020/06/30,Afghanistan,39119903,72318,31517,746,14131,16640,,,0.080565128
2020/07/01,Afghanistan,39119903,72906,31836,774,15651,15411,,,0.08138057
2020/07/02,Afghanistan,39119903,73515,32022,807,16041,15174,,,0.081856031
2020/07/03,Afghanistan,39119903,74287,32324,819,17331,14174,,,0.082628017
2020/07/04,Afghanistan,39119903,75155,32672,826,19164,12682,,,0.083517589
2020/07/05,Afghanistan,39119903,75747,32951,864,19366,12721,,,0.084230781
2020/07/06,Afghanistan,39119903,76415,33190,898,20103,12189,,,0.084841724
2020/07/07,Afghanistan,39119903,76910,33384,920,20179,12285,,,0.085337635
