Date,Country,Population,Total_Tests,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,New Cases
2020-04-19,Afghanistan,39119903,6422,996,33,131,832,
2020-04-20,Afghanistan,39119903,6422,1026,36,135,855,
2020-04-21,Afghanistan,39119903,6422,1092,36,150,906,
2020-04-22,Afghanistan,39119903,6422,1176,40,166,970,
2020-04-23,Afghanistan,39119903,6422,1279,42,179,1058,
2020-04-24,Afghanistan,39119903,6422,1351,43,188,1120,
2020-04-25,Afghanistan,39119903,7425,1463,47,188,1228,
2020-04-26,Afghanistan,39119903,8090,1531,50,207,1274,
2020-04-27,Afghanistan,39119903,8694,1703,57,220,1426,
2020-04-28,Afghanistan,39119903,9000,1828,58,228,1542,
2020-04-29,Afghanistan,39119903,9000,1939,60,252,1627,
2020-04-30,Afghanistan,39119903,10022,2171,64,260,1847,
2020-05-01,Afghanistan,39119903,10593,2335,68,310,1957,
2020-05-02,Afghanistan,39119903,11068,2469,72,345,2274,
2020-05-03,Afghanistan,39119903,11068,2704,85,345,2274,
2020-05-04,Afghanistan,39119903,11068,2894,90,397,2407,
2020-05-05,Afghanistan,39119903,13076,3224,95,421,2708,
2020-05-06,Afghanistan,39119903,13777,3392,104,458,2830,
2020-05-07,Afghanistan,39119903,14389,3563,106,468,2989,
2020-05-08,Afghanistan,39119903,14389,3778,109,472,3197,
2020-05-09,Afghanistan,39119903,15560,4033,115,502,3416,
2020-05-10,Afghanistan,39119903,15560,4402,120,558,3724,
2020-05-11,Afghanistan,39119903,15560,4687,122,558,4007,
2020-05-12,Afghanistan,39119903,18098,4963,127,610,4226,
2020-05-13,Afghanistan,39119903,18724,5226,132,648,4446,
2020-05-14,Afghanistan,39119903,19732,5639,136,691,4812,
2020-05-15,Afghanistan,39119903,20854,6053,153,745,5155,
2020-05-16,Afghanistan,39119903,21967,6402,168,745,5489,
2020-05-17,Afghanistan,39119903,22639,6664,169,778,5717,
2020-05-18,Afghanistan,39119903,23497,7072,173,801,6098,
2020-05-19,Afghanistan,39119903,24697,7653,178,850,6625,
2020-05-20,Afghanistan,39119903,25700,8145,187,930,7028,
2020-05-21,Afghanistan,39119903,26707,8676,193,938,7545,
2020-05-22,Afghanistan,39119903,27889,9216,205,996,8015,
2020-05-23,Afghanistan,39119903,29417,9998,216,1040,8742,
2020-05-24,Afghanistan,39119903,30052,10582,218,1075,9289,
2020-05-25,Afghanistan,39119903,31718,11173,219,1097,9857,
2020-05-26,Afghanistan,39119903,32870,11831,220,1128,10483,
2020-05-27,Afghanistan,39119903,33864,12456,227,1138,11091,
2020-05-28,Afghanistan,39119903,34903,13036,235,1209,11592,
2020-05-29,Afghanistan,39119903,35923,13659,246,1259,12154,
2020-05-30,Afghanistan,39119903,37348,14525,249,1303,12973,
2020-05-31,Afghanistan,39119903,38460,15205,257,1328,13620,
2020-06-01,Afghanistan,39119903,39628,15750,265,1428,14057,
2020-06-02,Afghanistan,39119903,40950,16509,270,1450,14789,
2020-06-03,Afghanistan,39119903,42273,17267,294,1522,15451,
2020-06-04,Afghanistan,39119903,43569,18054,300,1585,16169,
